form	stem	freq	corpus_size	lemma_freq	lfpm10	llfpm10	form_length	form_syl_count	lemma_length	lemma_syl_count	hunspell	vowels	ending	suffix_vowel	suffix_initial	linking_vowel	suffixes	examples	suffix
kóterba	kóter	95	8570080167	752	-0.95526127916911	-0.0567670438663156	7	3	5	2	TRUE	óe	ba	back	C	NA	-ba / -be	fotelba, projektbe	Ill
pátensek	pátens	95	8570080167	2649	-0.95526127916911	0.4900970738392732	8	3	6	2	TRUE	áe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
rulettnek	rulett	95	8570080167	8587	-0.95526127916911	1.0008565784407637	9	3	6	2	TRUE	ue	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
dojenek	dojen	94	8570080167	4289	-0.9598570308582592	0.6993711617811154	7	3	5	2	TRUE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
kornerhez	korner	94	8570080167	2850	-0.9598570308582592	0.5218599755505524	9	3	6	2	TRUE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
materből	mater	94	8570080167	16610	-0.9598570308582592	1.2873847479934366	8	3	5	2	TRUE	ae	ből	front	C	NA	-ból / -ből	matekból, modellből	Ela
notesza	notesz	94	8570080167	13921	-0.9598570308582592	1.2106855490122028	7	3	6	2	TRUE	oe	a	back	V	a	-a / -e	samesza, partnere	Poss.3Sg
pakettje	pakett	94	8570080167	2400	-0.9598570308582592	0.4472263572536482	8	3	6	2	TRUE	ae	je	front	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
stukkerral	stukker	94	8570080167	2693	-0.9598570308582592	0.4972514689535526	10	3	7	2	TRUE	ue	val	back	C	NA	-val / -vel	haverral, szoftverrel	Ins
zsánerről	zsáner	94	8570080167	16709	-0.9598570308582592	1.2899655745630536	9	3	6	2	TRUE	áe	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
bakterok	bakter	93	8570080167	4460	-0.9645019359040228	0.716349974254184	8	3	6	2	TRUE	ae	ok	back	V	o	-ok / -ek	haverok, projektek	Pl
krapekok	krapek	93	8570080167	1655	-0.9645019359040228	0.2858131136537797	8	3	6	2	TRUE	ae	ok	back	V	o	-ok / -ek	haverok, projektek	Pl
kábelra	kábel	93	8570080167	287412	-0.9645019359040228	2.5255200123429824	7	3	5	2	TRUE	áe	ra	back	C	NA	-ra / -re	panelra, koncertre	Subl
doglenek	doglen	92	8570080167	96	-0.9691970571124026	-0.9507136514183894	8	3	6	2	FALSE	oe	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
duettről	duett	92	8570080167	25938	-0.9691970571124026	1.4809516014593376	8	3	5	2	TRUE	ue	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
púderral	púder	92	8570080167	19636	-0.9691970571124026	1.360068138969874	8	3	5	2	TRUE	úe	val	back	C	NA	-val / -vel	haverral, szoftverrel	Ins
bagettben	bagett	90	8570080167	8695	-0.9787423750186328	1.0062847018807737	9	3	6	2	FALSE	ae	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
fotelom	fotel	90	8570080167	70961	-0.9787423750186328	1.918034842594317	7	3	5	2	TRUE	oe	om	back	V	o	-om / -em	haverom, partnerem	Poss.1Sg
klaszterről	klaszter	90	8570080167	72146	-0.9787423750186328	1.9252273729939529	11	3	8	2	FALSE	ae	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
kóterben	kóter	90	8570080167	752	-0.9787423750186328	-0.0567670438663156	8	3	5	2	TRUE	óe	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
noteszre	notesz	90	8570080167	13921	-0.9787423750186328	1.2106855490122028	8	3	6	2	TRUE	oe	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
rollerről	roller	90	8570080167	22986	-0.9787423750186328	1.4284785179087636	9	3	6	2	TRUE	oe	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
flanelből	flanel	89	8570080167	1947	-0.983594877813045	0.35638106706207384	9	3	6	2	TRUE	ae	ből	front	C	NA	-ból / -ből	matekból, modellből	Ela
klozeton	klozet	89	8570080167	993	-0.983594877813045	0.06396436403742334	8	3	6	2	TRUE	oe	on	back	V	o	-on / -en	panelon, koncerten	Supe
lágerről	láger	89	8570080167	14977	-0.983594877813045	1.242439945332364	8	3	5	2	TRUE	áe	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
szubrettnek	szubrett	89	8570080167	1891	-0.983594877813045	0.34370664438708193	11	3	8	2	TRUE	ue	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
bukfencei	bukfenc	88	8570080167	9197	-0.9885022123077892	1.0306613020268856	9	4	7	2	TRUE	ue	ei	front	V	e	-ai / -ei	sameszai, partnerei	Pl.Poss.3Sg
hotelja	hotel	88	8570080167	789022	-0.9885022123077892	2.9641042281879626	7	3	5	2	TRUE	oe	ja	back	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
klaszternél	klaszter	88	8570080167	72146	-0.9885022123077892	1.9252273729939529	11	3	8	2	FALSE	ae	nél	front	C	NA	-nál / -nél	havernál, modellnél	Ade
pátensben	pátens	88	8570080167	2649	-0.9885022123077892	0.4900970738392732	9	3	6	2	TRUE	áe	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
stukkerek	stukker	88	8570080167	2693	-0.9885022123077892	0.4972514689535526	9	3	7	2	TRUE	ue	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
sumerban	sumer	88	8570080167	9716	-0.9885022123077892	1.0545026216751352	8	3	5	2	TRUE	ue	ban	back	C	NA	-ban / -ben	panelban, projektben	Ine
hotelról	hotel	87	8570080167	789022	-0.9934656318393392	2.9641042281879626	8	3	5	2	TRUE	oe	ról	back	C	NA	-ról / -ről	matekról, projektről	Del
latexnek	latex	87	8570080167	16317	-0.9934656318393392	1.2796554290768758	8	3	5	2	FALSE	ae	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
noteszei	notesz	87	8570080167	13921	-0.9934656318393392	1.2106855490122028	8	4	6	2	TRUE	oe	ei	front	V	e	-ai / -ei	sameszai, partnerei	Pl.Poss.3Sg
omlettre	omlett	87	8570080167	7297	-0.9934656318393392	0.9301594617947097	8	3	6	2	TRUE	oe	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
bagettbe	bagett	86	8570080167	8695	-0.99848643321439	1.0062847018807737	8	3	6	2	FALSE	ae	be	front	C	NA	-ba / -be	fotelba, projektbe	Ill
bagettnek	bagett	86	8570080167	8695	-0.99848643321439	1.0062847018807737	9	3	6	2	FALSE	ae	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
bakternek	bakter	86	8570080167	4460	-0.99848643321439	0.716349974254184	9	3	6	2	TRUE	ae	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
púderbe	púder	86	8570080167	19636	-0.99848643321439	1.360068138969874	7	3	5	2	TRUE	úe	be	front	C	NA	-ba / -be	fotelba, projektbe	Ill
bukfence	bukfenc	85	8570080167	9197	-1.0035659587436652	1.0306613020268856	8	3	7	2	TRUE	ue	e	front	V	e	-a / -e	samesza, partnere	Poss.3Sg
burleszkben	burleszk	85	8570080167	3962	-1.0035659587436652	0.6649295867445704	11	3	8	2	TRUE	ue	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
kábeleim	kábel	85	8570080167	287412	-1.0035659587436652	2.5255200123429824	8	4	5	2	TRUE	áe	eim	front	V	e	-aim / -eim	haveraim, partnereim	Pl.Poss.1Sg
latexhez	latex	85	8570080167	16317	-1.0035659587436652	1.2796554290768758	8	3	5	2	FALSE	ae	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
foteljei	fotel	84	8570080167	70961	-1.0087055983960762	1.918034842594317	8	4	5	2	TRUE	oe	jei	front	C	NA	-jai / -jei	haverjai, modelljei	Pl.Poss.3Sg
konszernről	konszern	84	8570080167	31027	-1.0087055983960762	1.5587549012315391	11	3	8	2	TRUE	oe	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
tokenből	token	84	8570080167	15097	-1.0087055983960762	1.245905770590949	8	3	5	2	FALSE	oe	ből	front	C	NA	-ból / -ből	matekból, modellből	Ela
transzferünk	transzfer	84	8570080167	87598	-1.0087055983960762	2.0095093061978013	12	3	9	2	TRUE	ae	ünk	front	V	ü	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
ágenstől	ágens	84	8570080167	17621	-1.0087055983960762	1.3130456667326265	8	3	5	2	TRUE	áe	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
hardvereik	hardver	83	8570080167	133417	-1.0139067920818838	2.192226286470405	10	4	7	2	TRUE	ae	eik	front	V	e	-aik / -eik	sameszaik, partnereik	Pl.Poss.3Pl
kábelük	kábel	83	8570080167	287412	-1.0139067920818838	2.5255200123429824	7	3	5	2	TRUE	áe	ük	front	V	ü	-uk / -ük	pajeszuk, partnerük	Poss.3Pl
kóterbe	kóter	83	8570080167	752	-1.0139067920818838	-0.0567670438663156	7	3	5	2	TRUE	óe	be	front	C	NA	-ba / -be	fotelba, projektbe	Ill
noteszed	notesz	83	8570080167	13921	-1.0139067920818838	1.2106855490122028	8	3	6	2	TRUE	oe	ed	front	V	e	-od / -ed	haverod, partnered	Poss.2Sg
koncerte	koncert	82	8570080167	1019145	-1.019171032074241	3.0752510936798796	8	3	7	2	TRUE	oe	e	front	V	e	-a / -e	samesza, partnere	Poss.3Sg
konzervünk	konzerv	82	8570080167	49626	-1.019171032074241	1.762724386751122	10	3	7	2	TRUE	oe	ünk	front	V	ü	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
materek	mater	82	8570080167	16610	-1.019171032074241	1.2873847479934366	7	3	5	2	TRUE	ae	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
ofszettel	ofszet	82	8570080167	4953	-1.019171032074241	0.7618834435244982	9	3	6	2	TRUE	oe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
paneljeink	panel	82	8570080167	223571	-1.019171032074241	2.4164305848960708	10	4	5	2	TRUE	ae	jeink	front	C	NA	-jaink / -jeink	haverjaink, projektjeink	Pl.Poss.1Pl
rulettnél	rulett	82	8570080167	8587	-1.019171032074241	1.0008565784407637	9	3	6	2	TRUE	ue	nél	front	C	NA	-nál / -nél	havernál, modellnél	Ade
sábeszre	sábesz	82	8570080167	745	-1.019171032074241	-0.06082861170966497	8	3	6	2	TRUE	áe	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
klozetra	klozet	81	8570080167	993	-1.024499865579308	0.06396436403742334	8	3	6	2	TRUE	oe	ra	back	C	NA	-ra / -re	panelra, koncertre	Subl
lumennek	lumen	81	8570080167	19534	-1.024499865579308	1.3578062989248016	8	3	5	2	TRUE	ue	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
lágeren	láger	81	8570080167	14977	-1.024499865579308	1.242439945332364	7	3	5	2	TRUE	áe	en	front	V	e	-on / -en	panelon, koncerten	Supe
skanzenből	skanzen	81	8570080167	26458	-1.024499865579308	1.4895721276614022	10	3	7	2	TRUE	ae	ből	front	C	NA	-ból / -ből	matekból, modellből	Ela
slágertől	sláger	81	8570080167	155508	-1.024499865579308	2.2587678514546465	9	3	6	2	TRUE	áe	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
srapnellel	srapnel	81	8570080167	877	-1.024499865579308	0.01001470890808267	10	3	7	2	TRUE	ae	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
sumernek	sumer	81	8570080167	9716	-1.024499865579308	1.0545026216751352	8	3	5	2	TRUE	ue	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
szlogenbe	szlogen	81	8570080167	73259	-1.024499865579308	1.9318761017045023	9	3	7	2	TRUE	oe	be	front	C	NA	-ba / -be	fotelba, projektbe	Ill
balettja	balett	80	8570080167	87544	-1.0298948974660145	2.009241501756081	8	3	6	2	TRUE	ae	ja	back	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
faterhoz	fater	80	8570080167	15751	-1.0298948974660145	1.2643232470451446	8	3	5	2	TRUE	ae	hoz	back	C	NA	-hoz / -hez	matekhoz, projekthez	All
faternek	fater	80	8570080167	15751	-1.0298948974660145	1.2643232470451446	8	3	5	2	TRUE	ae	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
konzervhez	konzerv	80	8570080167	49626	-1.0298948974660145	1.762724386751122	10	3	7	2	TRUE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
mágnesnél	mágnes	80	8570080167	59860	-1.0298948974660145	1.8441518280462148	9	3	6	2	TRUE	áe	nél	front	C	NA	-nál / -nél	havernál, modellnél	Ade
noteszom	notesz	80	8570080167	13921	-1.0298948974660145	1.2106855490122028	8	3	6	2	TRUE	oe	om	back	V	o	-om / -em	haverom, partnerem	Poss.1Sg
parszekre	parszek	80	8570080167	482	-1.0298948974660145	-0.2499378462191083	9	3	7	2	TRUE	ae	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
rockerhez	rocker	80	8570080167	20440	-1.0298948974660145	1.3774960070047173	9	3	6	2	FALSE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
sameszok	samesz	80	8570080167	2511	-1.0298948974660145	0.4668618282549646	8	3	6	2	TRUE	ae	ok	back	V	o	-ok / -ek	haverok, projektek	Pl
burleszkek	burleszk	79	8570080167	3962	-1.0353577931675164	0.6649295867445704	10	3	8	2	TRUE	ue	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
fráterrel	fráter	79	8570080167	13052	-1.0353577931675164	1.1826921806578794	9	3	6	2	TRUE	áe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
klasztertől	klaszter	79	8570080167	72146	-1.0353577931675164	1.9252273729939529	11	3	8	2	FALSE	ae	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
lumenek	lumen	79	8570080167	19534	-1.0353577931675164	1.3578062989248016	7	3	5	2	TRUE	ue	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
rubelek	rubel	79	8570080167	19855	-1.0353577931675164	1.3648850069419438	7	3	5	2	TRUE	ue	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
suszterhez	suszter	79	8570080167	6878	-1.0353577931675164	0.9044772870280368	10	3	7	2	TRUE	ue	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
materre	mater	78	8570080167	16610	-1.0408902817674774	1.2873847479934366	7	3	5	2	TRUE	ae	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
pókertől	póker	78	8570080167	22273	-1.0408902817674774	1.4147938326074063	8	3	5	2	TRUE	óe	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
tandemek	tandem	78	8570080167	10068	-1.0408902817674774	1.0699583224183673	8	3	6	2	TRUE	ae	ek	front	V	e	-ok / -ek	haverok, projektek	Pl
tokenhez	token	78	8570080167	15097	-1.0408902817674774	1.245905770590949	8	3	5	2	FALSE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
bukfencben	bukfenc	77	8570080167	9197	-1.046494159285476	1.0306613020268856	10	3	7	2	TRUE	ue	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
duetté	duett	77	8570080167	25938	-1.046494159285476	1.4809516014593376	6	3	5	2	TRUE	ue	vé	front	C	é	-vá / -vé	balekká, partnerré	Transl
haverrel	haver	77	8570080167	165801	-1.046494159285476	2.2866022611361054	8	3	5	2	TRUE	ae	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
hoteljük	hotel	77	8570080167	789022	-1.046494159285476	2.9641042281879626	8	3	5	2	TRUE	oe	jük	front	C	NA	-juk / -jük	haverjuk, koncertjük	Poss.3Pl
klaszterenként	klaszter	77	8570080167	72146	-1.046494159285476	1.9252273729939529	14	4	8	2	FALSE	ae	enként	front	V	e	-onként / -enként	panelonként, projektenként	Distr:nként/Adv
kupecnek	kupec	77	8570080167	2393	-1.046494159285476	0.4459578141554795	8	3	5	2	TRUE	ue	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
kábeleik	kábel	77	8570080167	287412	-1.046494159285476	2.5255200123429824	8	4	5	2	TRUE	áe	eik	front	V	e	-aik / -eik	sameszaik, partnereik	Pl.Poss.3Pl
motelünk	motel	77	8570080167	13960	-1.046494159285476	1.2119005338291844	8	3	5	2	TRUE	oe	ünk	front	V	ü	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
pasztellje	pasztell	77	8570080167	22351	-1.046494159285476	1.4163120740957438	10	3	8	2	TRUE	ae	je	front	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
púderben	púder	77	8570080167	19636	-1.046494159285476	1.360068138969874	8	3	5	2	TRUE	úe	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
raszteren	raszter	77	8570080167	4403	-1.046494159285476	0.7107638010015679	9	3	7	2	TRUE	ae	en	front	V	e	-on / -en	panelon, koncerten	Supe
szovjethez	szovjet	77	8570080167	340921	-1.046494159285476	2.59966886920045	10	3	7	2	TRUE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
szubrettet	szubrett	77	8570080167	1891	-1.046494159285476	0.34370664438708193	10	3	8	2	TRUE	ue	et	front	V	e	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
azbesztről	azbeszt	76	8570080167	9640	-1.0521712921771664	1.051092149444873	10	3	7	2	TRUE	ae	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
kadetok	kadet	76	8570080167	9726	-1.0521712921771664	1.0549493807742008	7	3	5	2	FALSE	ae	ok	back	V	o	-ok / -ek	haverok, projektek	Pl
konzervem	konzerv	76	8570080167	49626	-1.0521712921771664	1.762724386751122	9	3	7	2	TRUE	oe	em	front	V	e	-om / -em	haverom, partnerem	Poss.1Sg
kádereik	káder	76	8570080167	8956	-1.0521712921771664	1.0191292004490349	8	4	5	2	TRUE	áe	eik	front	V	e	-aik / -eik	sameszaik, partnereik	Pl.Poss.3Pl
kádereink	káder	76	8570080167	8956	-1.0521712921771664	1.0191292004490349	9	4	5	2	TRUE	áe	eink	front	V	e	-aink / -eink	bunkeraink, partnereink	Pl.Poss.1Pl
materra	mater	76	8570080167	16610	-1.0521712921771664	1.2873847479934366	7	3	5	2	TRUE	ae	ra	back	C	NA	-ra / -re	panelra, koncertre	Subl
mopednek	moped	76	8570080167	6981	-1.0521712921771664	0.9109327535484344	8	3	5	2	TRUE	oe	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
púdertől	púder	76	8570080167	19636	-1.0521712921771664	1.360068138969874	8	3	5	2	TRUE	úe	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
ágenshez	ágens	76	8570080167	17621	-1.0521712921771664	1.3130456667326265	8	3	5	2	TRUE	áe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
fotelnak	fotel	75	8570080167	70961	-1.0579236210662577	1.918034842594317	8	3	5	2	TRUE	oe	nak	back	C	NA	-nak / -nek	havernak, projektnek	Dat
hardvereink	hardver	75	8570080167	133417	-1.0579236210662577	2.192226286470405	11	4	7	2	TRUE	ae	eink	front	V	e	-aink / -eink	bunkeraink, partnereink	Pl.Poss.1Pl
kortese	kortes	75	8570080167	1171	-1.0579236210662577	0.13557201061440527	7	3	6	2	TRUE	oe	e	front	V	e	-a / -e	samesza, partnere	Poss.3Sg
makettjeim	makett	75	8570080167	42231	-1.0579236210662577	1.6926464808727033	10	4	6	2	TRUE	ae	jeim	front	C	NA	-jaim / -jeim	haverjaim, projektjeim	Pl.Poss.1Sg
motellel	motel	75	8570080167	13960	-1.0579236210662577	1.2119005338291844	8	3	5	2	TRUE	oe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
karterba	karter	74	8570080167	1181	-1.0637531647269816	0.13926501315555695	8	3	6	2	TRUE	ae	ba	back	C	NA	-ba / -be	fotelba, projektbe	Ill
muterral	muter	74	8570080167	2713	-1.0637531647269816	0.5004649093036383	8	3	5	2	TRUE	ue	val	back	C	NA	-val / -vel	haverral, szoftverrel	Ins
mágnesed	mágnes	74	8570080167	59860	-1.0637531647269816	1.8441518280462148	8	3	6	2	TRUE	áe	ed	front	V	e	-od / -ed	haverod, partnered	Poss.2Sg
szovjettől	szovjet	74	8570080167	340921	-1.0637531647269816	2.59966886920045	10	3	7	2	TRUE	oe	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
sólethez	sólet	74	8570080167	3255	-1.0637531647269816	0.5795661084462529	8	3	5	2	TRUE	óe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
kornere	korner	73	8570080167	2850	-1.069662024337502	0.5218599755505524	7	3	6	2	TRUE	oe	e	front	V	e	-a / -e	samesza, partnere	Poss.3Sg
lumennél	lumen	73	8570080167	19534	-1.069662024337502	1.3578062989248016	8	3	5	2	TRUE	ue	nél	front	C	NA	-nál / -nél	havernál, modellnél	Ade
malterba	malter	73	8570080167	3492	-1.069662024337502	0.6100893505755742	8	3	6	2	TRUE	ae	ba	back	C	NA	-ba / -be	fotelba, projektbe	Ill
transzfernél	transzfer	73	8570080167	87598	-1.069662024337502	2.0095093061978013	12	3	9	2	TRUE	ae	nél	front	C	NA	-nál / -nél	havernál, modellnél	Ade
balekká	balek	72	8570080167	13062	-1.0756523880266893	1.18302479496678	7	3	5	2	TRUE	ae	vá	back	C	NA	-vá / -vé	balekká, partnerré	Transl
hardverje	hardver	72	8570080167	133417	-1.0756523880266893	2.192226286470405	9	3	7	2	TRUE	ae	je	front	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
kofferből	koffer	72	8570080167	7809	-1.0756523880266893	0.9596105383709403	9	3	6	2	TRUE	oe	ből	front	C	NA	-ból / -ből	matekból, modellből	Ela
koleszbe	kolesz	72	8570080167	5077	-1.0756523880266893	0.7726222789466473	8	3	6	2	FALSE	oe	be	front	C	NA	-ba / -be	fotelba, projektbe	Ill
plakettre	plakett	72	8570080167	13783	-1.0756523880266893	1.2063588716944174	9	3	7	2	TRUE	ae	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
burleszkje	burleszk	71	8570080167	3962	-1.0817265357388826	0.6649295867445704	10	3	8	2	TRUE	ue	je	front	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
burleszknek	burleszk	71	8570080167	3962	-1.0817265357388826	0.6649295867445704	11	3	8	2	TRUE	ue	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
modemünk	modem	71	8570080167	54652	-1.0817265357388826	1.8046211752050836	8	3	5	2	TRUE	oe	ünk	front	V	ü	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
dózerre	dózer	70	8570080167	2635	-1.087886844443701	0.4877957350906076	7	3	5	2	TRUE	óe	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
hotelenként	hotel	70	8570080167	789022	-1.087886844443701	2.9641042281879626	11	4	5	2	TRUE	oe	enként	front	V	e	-onként / -enként	panelonként, projektenként	Distr:nként/Adv
kopeket	kopek	70	8570080167	1166	-1.087886844443701	0.13371366596503742	7	3	5	2	TRUE	oe	et	front	V	e	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
kortesei	kortes	70	8570080167	1171	-1.087886844443701	0.13557201061440527	8	4	6	2	TRUE	oe	ei	front	V	e	-ai / -ei	sameszai, partnerei	Pl.Poss.3Sg
káderrel	káder	70	8570080167	8956	-1.087886844443701	1.0191292004490349	8	3	5	2	TRUE	áe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
kóklerrel	kókler	70	8570080167	7297	-1.087886844443701	0.9301594617947097	9	3	6	2	TRUE	óe	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
noteszhez	notesz	70	8570080167	13921	-1.087886844443701	1.2106855490122028	9	3	6	2	TRUE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
plakettben	plakett	70	8570080167	13783	-1.087886844443701	1.2063588716944174	10	3	7	2	TRUE	ae	ben	front	C	NA	-ban / -ben	panelban, projektben	Ine
zsánernél	zsáner	70	8570080167	16709	-1.087886844443701	1.2899655745630536	9	3	6	2	TRUE	áe	nél	front	C	NA	-nál / -nél	havernál, modellnél	Ade
bakterrel	bakter	69	8570080167	4460	-1.0941357937207026	0.716349974254184	9	3	6	2	TRUE	ae	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
balettból	balett	69	8570080167	87544	-1.0941357937207026	2.009241501756081	9	3	6	2	TRUE	ae	ból	back	C	NA	-ból / -ből	matekból, modellből	Ela
kadettel	kadet	69	8570080167	9726	-1.0941357937207026	1.0549493807742008	8	3	5	2	FALSE	ae	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
modellük	modell	69	8570080167	1509359	-1.0941357937207026	3.2458076642479075	8	3	6	2	TRUE	oe	ük	front	V	ü	-uk / -ük	pajeszuk, partnerük	Poss.3Pl
notesznek	notesz	69	8570080167	13921	-1.0941357937207026	1.2106855490122028	9	3	6	2	TRUE	oe	nek	front	C	NA	-nak / -nek	havernak, projektnek	Dat
pasztelltől	pasztell	69	8570080167	22351	-1.0941357937207026	1.4163120740957438	11	3	8	2	TRUE	ae	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
szlogennél	szlogen	69	8570080167	73259	-1.0941357937207026	1.9318761017045023	10	3	7	2	TRUE	oe	nél	front	C	NA	-nál / -nél	havernál, modellnél	Ade
azbeszthez	azbeszt	68	8570080167	9640	-1.1004759717517214	1.051092149444873	10	3	7	2	TRUE	ae	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
bankettra	bankett	68	8570080167	10704	-1.1004759717517214	1.09656121596579	9	3	7	2	TRUE	ae	ra	back	C	NA	-ra / -re	panelra, koncertre	Subl
foteltől	fotel	68	8570080167	70961	-1.1004759717517214	1.918034842594317	8	3	5	2	TRUE	oe	től	front	C	NA	-tól / -től	havertól, hoteltől	Abl
makettot	makett	68	8570080167	42231	-1.1004759717517214	1.6926464808727033	8	3	6	2	TRUE	ae	ot	back	V	o	-ot / -et / -öt	flóbertot, flóbertet/flőbörtöt	Acc
malterrel	malter	68	8570080167	3492	-1.1004759717517214	0.6100893505755742	9	3	6	2	TRUE	ae	vel	front	C	NA	-val / -vel	haverral, szoftverrel	Ins
mopedje	moped	68	8570080167	6981	-1.1004759717517214	0.9109327535484344	7	3	5	2	TRUE	oe	je	front	C	NA	-ja / -je	haverja, modellje	Poss.3Sg
motelhez	motel	68	8570080167	13960	-1.1004759717517214	1.2119005338291844	8	3	5	2	TRUE	oe	hez	front	C	NA	-hoz / -hez	matekhoz, projekthez	All
skanzenről	skanzen	68	8570080167	26458	-1.1004759717517214	1.4895721276614022	10	3	7	2	TRUE	ae	ről	front	C	NA	-ról / -ről	matekról, projektről	Del
szoftvereim	szoftver	68	8570080167	653676	-1.1004759717517214	2.8823776554889804	11	4	8	2	TRUE	oe	eim	front	V	e	-aim / -eim	haveraim, partnereim	Pl.Poss.1Sg
transzferei	transzfer	68	8570080167	87598	-1.1004759717517214	2.0095093061978013	11	4	9	2	TRUE	ae	ei	front	V	e	-ai / -ei	sameszai, partnerei	Pl.Poss.3Sg
zsánereim	zsáner	68	8570080167	16709	-1.1004759717517214	1.2899655745630536	9	4	6	2	TRUE	áe	eim	front	V	e	-aim / -eim	haveraim, partnereim	Pl.Poss.1Sg
azbesztre	azbeszt	67	8570080167	9640	-1.1069100817571311	1.051092149444873	9	3	7	2	TRUE	ae	re	front	C	NA	-ra / -re	panelra, koncertre	Subl
duettünk	duett	67	8570080167	25938	-1.1069100817571311	1.4809516014593376	8	3	5	2	TRUE	ue	ünk	front	V	ü	-unk / -ünk	haverunk, partnerünk	Poss.1Pl
motelből	motel	67	8570080167	13960	-1.1069100817571311	1.2119005338291844	8	3	5	2	TRUE	oe	ből	front	C	NA	-ból / -ből	matekból, modellből	Ela
